DenmarkO;FranceO;GermanyO;GreeceO;ItalyO;JapanO;PolandO;SwitzerlandO;TurkeyO;United KingdomO
DenmarkA;0;177;767;42;124;64;352;51;181;450
FranceA;312;0;6698;2288;4686;2337;3270;1463;2273;2611
GermanyA;697;6678;0;7577;8111;2547;15417;2169;27582;2154
GreeceA;2;5;98;0;18;7;35;5;42;14
ItalyA;66;819;1350;7159;0;238;1002;1075;182;247
JapanA;20;269;316;17;74;0;94;38;170;403
PolandA;8;32;182;32;18;19;0;8;10;22
SwitzerlandA;96;3856;7492;284;4507;270;475;0;706;356
TurkeyA;4;12;125;1136;13;19;5;276;0;162
United KingdomA;2286;12960;13913;22342;7941;6595;1792;956;3043;0
